id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_2532,"The Portl Studio","The Portl Studio is your Smart Home Gym with an in-built Personal Trainer. Supports multiple users on a single device with real-time form correction and customized workouts based on your goals. Receive personalized workouts On-Demand and Live from the wide range available- HIIT, Strength, Endurance, Self-Defense, Cardio, Dance Fitness, Yoga, Meditation and Pain management to get started. 
 
Specifications: 
 
  43” High-Resolution Multi-Touch LCD Display 
  HD Camera & Omni-Directional Microphone 
  Bluetooth & Wi-Fi connectivity",https://portl.co/wp-content/uploads/2021/11/4-1.jpg,https://portl.co/product/the-portl-studio/,"New","Portl.co",125000INR,in stock,wc_post_id_2532,,"https://portl.co/wp-content/uploads/2021/12/5-1-803x1024-1.jpg",,0,new,published,,,,,,,
wc_post_id_5653,"UltraGym","Type: Performance Combo",https://portl.co/wp-content/uploads/2024/10/ultragym_thumbnail.jpg,https://portl.co/product/ultragym/?attribute_type=Performance+Combo,"New","Portl.co",87289INR,in stock,wc_post_id_5610,,,/,56772INR,new,published,,,,,,,
wc_post_id_5612,"UltraGym","Type: Ultimate Combo",https://portl.co/wp-content/uploads/2024/10/ultragym_thumbnail.jpg,https://portl.co/product/ultragym/?attribute_type=Ultimate+Combo,"New","Portl.co",99144INR,in stock,wc_post_id_5610,,,/,66093INR,new,published,,,,,,,
wc_post_id_5611,"UltraGym","Type: Starter",https://portl.co/wp-content/uploads/2024/10/ultragym_thumbnail.jpg,https://portl.co/product/ultragym/?attribute_type=Starter,"New","Portl.co",83889INR,in stock,wc_post_id_5610,,,/,50839INR,new,published,,,,,,,
